# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
14/02/2021 11:00:00,1,890,840,3,1,790
14/02/2021 11:00:48,1,890,840,3,1,730
14/02/2021 11:01:04,1,890,840,3,1,730
14/02/2021 11:01:20,1,880,840,3,1,740
14/02/2021 11:01:36,1,880,840,3,1,740
14/02/2021 11:01:52,1,870,840,3,1,740
14/02/2021 11:02:08,1,870,840,3,1,730
14/02/2021 11:02:24,1,870,840,3,1,730
14/02/2021 11:02:40,1,830,840,3,1,740
14/02/2021 11:02:56,1,830,840,3,1,740
14/02/2021 11:03:12,1,860,840,3,2,720
14/02/2021 11:03:28,1,860,840,3,2,720
14/02/2021 11:04:00,1,830,840,3,2,740
14/02/2021 11:04:16,1,830,840,3,2,740
14/02/2021 11:04:32,1,830,840,3,1,810
14/02/2021 11:04:48,1,860,840,3,1,810
14/02/2021 11:05:04,1,860,840,3,1,790
14/02/2021 11:05:20,1,860,840,3,1,790
14/02/2021 11:05:36,1,1070,840,3,0,-999
14/02/2021 11:05:52,1,1070,840,3,0,-999
14/02/2021 11:06:08,1,1060,840,3,1,730
14/02/2021 11:06:24,1,1100,840,3,1,730
14/02/2021 11:06:56,1,1060,840,3,1,900
14/02/2021 11:07:12,1,1060,840,3,1,900
14/02/2021 11:07:28,1,1060,840,3,1,840
14/02/2021 11:08:00,1,1060,840,3,1,900
14/02/2021 11:08:32,1,1060,840,3,1,1030
14/02/2021 11:08:48,1,1100,840,3,1,1030
14/02/2021 11:09:04,1,1100,840,3,1,1030
14/02/2021 11:09:20,1,1100,840,3,1,1010
14/02/2021 11:09:52,1,1100,840,3,1,900
14/02/2021 11:10:24,1,-999,840,3,1,740
14/02/2021 11:10:56,1,-999,840,3,1,740
14/02/2021 11:11:12,1,-999,840,3,1,740
14/02/2021 11:11:44,1,-999,840,3,1,900
14/02/2021 11:12:00,1,-999,840,3,1,900
14/02/2021 11:12:16,1,-999,840,3,2,810
14/02/2021 11:12:32,1,-999,840,3,2,810
14/02/2021 11:13:04,1,1030,840,3,1,820
14/02/2021 11:13:20,1,1030,840,3,2,840
14/02/2021 11:13:36,1,1030,840,3,2,840
14/02/2021 11:14:08,1,1030,840,3,1,800
14/02/2021 11:14:24,1,1030,840,3,1,800
14/02/2021 11:14:56,1,1030,840,3,1,870
14/02/2021 11:15:12,1,1030,840,3,1,860
14/02/2021 11:15:44,1,1150,840,3,0,-999
14/02/2021 11:16:00,1,1160,840,3,0,-999
14/02/2021 11:16:32,1,1040,840,3,0,-999
14/02/2021 11:16:48,1,1040,840,3,0,-999
14/02/2021 11:17:04,1,1020,840,3,0,-999
14/02/2021 11:17:20,1,1020,840,3,0,-999
14/02/2021 11:17:52,1,-999,840,3,1,870
14/02/2021 11:18:24,1,1150,840,3,1,850
14/02/2021 11:18:40,1,1150,840,3,1,850
14/02/2021 11:18:56,1,1150,840,3,1,900
14/02/2021 11:19:12,1,1150,840,3,1,900
14/02/2021 11:19:44,1,360,840,3,0,-999
14/02/2021 11:20:16,1,1060,840,3,1,830
14/02/2021 11:20:32,1,1070,840,3,0,-999
14/02/2021 11:20:48,1,1070,840,3,0,-999
14/02/2021 11:21:04,1,1070,840,3,0,-999
14/02/2021 11:21:20,1,1080,840,3,0,-999
14/02/2021 11:21:36,1,1080,840,3,0,-999
14/02/2021 11:21:52,1,1050,840,3,1,960
14/02/2021 11:22:08,1,1050,840,3,1,960
14/02/2021 11:22:24,1,1050,840,3,1,870
14/02/2021 11:23:12,1,1100,840,3,1,960
14/02/2021 11:23:28,1,1100,840,3,1,960
14/02/2021 11:23:44,1,1020,840,3,0,-999
14/02/2021 11:24:00,1,1020,840,3,0,-999
14/02/2021 11:24:16,1,1030,840,3,0,-999
14/02/2021 11:24:32,1,1030,840,3,0,-999
14/02/2021 11:24:48,1,1080,840,3,0,-999
14/02/2021 11:25:04,1,1070,840,3,0,-999
14/02/2021 11:25:20,1,1010,840,3,0,-999
14/02/2021 11:25:36,1,1010,840,3,0,-999
14/02/2021 11:25:52,1,1020,840,3,0,-999
14/02/2021 11:26:08,1,1040,840,3,0,-999
14/02/2021 11:26:24,1,1040,840,3,0,-999
14/02/2021 11:26:56,1,-999,840,3,1,860
14/02/2021 11:27:12,1,980,840,3,1,850
14/02/2021 11:27:28,1,980,840,3,1,850
14/02/2021 11:27:44,1,1050,840,3,0,-999
14/02/2021 11:28:00,1,1060,840,3,0,-999
14/02/2021 11:28:16,1,1070,840,3,0,-999
14/02/2021 11:28:48,1,1070,840,3,0,-999
14/02/2021 11:29:04,1,1050,840,3,0,-999
14/02/2021 11:29:36,1,1090,840,3,0,-999
14/02/2021 11:29:52,1,1090,840,3,0,-999
14/02/2021 11:30:08,1,970,840,3,1,900
14/02/2021 11:30:56,1,970,840,3,1,870
14/02/2021 11:31:12,1,970,840,3,1,870
14/02/2021 11:31:28,1,970,840,3,1,850
14/02/2021 11:32:00,1,990,840,3,1,880
14/02/2021 11:32:16,1,990,840,3,1,880
14/02/2021 11:32:32,1,990,840,3,1,960
14/02/2021 11:32:48,1,990,840,3,1,960
14/02/2021 11:33:04,1,990,840,3,1,960
14/02/2021 11:33:20,1,990,840,3,1,940
14/02/2021 11:33:52,1,1060,840,3,1,930
14/02/2021 11:34:08,1,1060,840,3,1,930
14/02/2021 11:34:24,1,1060,840,3,2,830
14/02/2021 11:34:56,1,1060,840,3,1,820
14/02/2021 11:35:28,1,-999,840,3,1,820
14/02/2021 11:36:00,1,-999,840,3,1,870
14/02/2021 11:36:16,1,1090,840,3,0,-999
14/02/2021 11:36:32,1,1100,840,3,0,-999
14/02/2021 11:36:48,1,1110,840,3,0,-999
14/02/2021 11:37:20,1,1070,840,3,0,-999
14/02/2021 11:37:36,1,1070,840,3,0,-999
14/02/2021 11:38:08,1,1050,840,3,0,-999
14/02/2021 11:38:40,1,1050,840,3,0,-999
14/02/2021 11:39:12,1,1060,840,3,0,-999
14/02/2021 11:39:28,1,1060,840,3,0,-999
14/02/2021 11:40:00,1,1060,840,3,0,-999
14/02/2021 11:40:16,1,1050,840,3,0,-999
14/02/2021 11:40:32,1,1090,840,3,0,-999
14/02/2021 11:41:20,1,1090,840,3,0,-999
14/02/2021 11:41:36,1,1090,840,3,0,-999
14/02/2021 11:41:52,1,1080,840,3,0,-999
14/02/2021 11:42:08,1,1080,840,3,0,-999
14/02/2021 11:42:24,1,1080,840,3,0,-999
14/02/2021 11:42:40,1,1080,840,3,0,-999
14/02/2021 11:42:56,1,1080,840,3,0,-999
14/02/2021 11:43:28,1,1090,840,3,0,-999
14/02/2021 11:43:44,1,1090,840,3,0,-999
14/02/2021 11:44:16,1,1100,840,3,0,-999
14/02/2021 11:44:32,1,920,840,3,1,920
14/02/2021 11:44:48,1,920,840,3,1,920
14/02/2021 11:45:04,1,920,840,3,1,920
14/02/2021 11:45:20,1,920,840,3,1,940
14/02/2021 11:45:36,1,990,840,3,1,940
14/02/2021 11:45:52,1,990,840,3,1,900
14/02/2021 11:46:08,1,1050,840,3,1,900
14/02/2021 11:46:40,1,1050,840,3,1,1100
14/02/2021 11:47:12,1,1050,840,3,1,990
