Date,Hour,Carbon monoxide,Humidity,Nephelometer ,Nitric Oxide,Nitrogen Dioxide,Ozone,PM10,PM2.5,Rainfall,Sulphur Dioxide,Temperature,Wind Direction (10m) ,Wind Direction Sigma Theta,Wind Speed (10m)  , Layer_QualityIndex,cloud_dat,Mean_Layer_Height,n_BL,cloud_stat,WRF_BLH,CTM_BLH,CL_BLH
2021-02-12,11,0.149364,38.903,0.098,0.0564,0.432441,3.455247,19.175,0.367,0.0,0.089996,29.653,331.739,26.645,2.549,3.0,6196.7555555555555,390.0,3,1.4622222222222223,1669.35,1035.7593,1474.2222222222222
2021-02-12,12,0.14608,41.071,0.098,0.032354,0.480973,3.001747,21.087,0.158,0.0,0.078456,29.344,341.122,26.52,2.536,2.0,5745.9111111111115,460.0,3,1.0977777777777777,1674.54,984.8432,1826.2222222222222
2021-02-12,13,0.146025,37.793,0.105,0.035266,0.328856,3.512447,22.598,5.19,0.0,0.060462,31.621,351.062,28.473,3.029,2.0,5660.977777777778,1690.0,3,1.1733333333333333,2194.04,546.3094,1662.4444444444443
2021-02-12,14,0.153295,33.679,0.104,0.03656,0.345746,3.775647,21.24,7.388,0.0,0.06809,33.368,345.062,28.062,3.395,2.0,6411.494726062465,1640.0,3,0.28,1682.49,559.0942,1500.7555555555555
2021-02-12,15,0.154233,33.654,0.1,0.016396,0.40005,3.589947,22.086,2.361,0.0,0.066623,33.113,346.135,28.148,2.763,3.0,5344.949718381977,1610.0,3,0.5155555555555555,2199.28,330.053,1546.8444444444444
2021-02-12,16,0.154252,35.399,0.099,-0.010454,0.318166,3.512047,22.67,4.836,0.0,0.067112,32.715,353.334,27.343,2.587,2.0044444444444443,5329.644444444444,1530.3555555555556,3,1.0355555555555556,1685.8,236.4872,1615.4222222222222
2021-02-12,17,0.165523,36.484,0.1,-0.021668,0.500428,2.939947,19.462,4.181,0.0,0.041587,32.277,348.796,23.411,2.284,2.9955555555555557,5367.022222222222,1589.7333333333333,3,0.7911111111111111,1685.11,133.5114,2061.6
2021-02-12,18,0.241312,54.734,0.197,-0.023609,1.28004,2.183547,64.509,4.766333333333334,0.0,0.043152,28.926,163.729,82.674,0.853,2.0,4830.044444444445,2520.0,3,1.0755555555555556,346.92,72.1747,2110.088888888889
2021-02-12,19,0.236907,88.046,0.175,-0.012395,0.886867,1.981347,47.93,5.351666666666667,1.6,0.019974,23.814,184.858,25.535,2.589,1.0,3104.222222222222,2280.0,3,1.3377777777777777,1265.39,86.8263,1525.580780780781
2021-02-12,20,0.286797,97.686,0.205,0.023944,1.610144,1.027647,27.706,5.937,1.2,0.019876,22.958,171.403,106.693,0.334,2.0,2204.3555555555554,110.0,3,1.4133333333333333,1264.72,63.3888,1245.7303303303304
2021-02-12,21,0.285605,100.071,0.212,-0.021129,1.290196,0.930047,21.149,3.109,0.8,0.025157,22.882,22.339,85.664,0.2,3.0,2582.4,110.0,3,1.9066666666666667,433.05,53.52,239.6888888888888
2021-02-12,22,0.371329,101.291,0.32,-0.018757,1.219108,1.262947,23.071,4.86,0.2,0.027406,22.39,48.838,24.694,1.377,2.0,2544.9333333333334,320.0,3,1.6133333333333333,0.0,118.2816,400.88361581920896
2021-02-12,23,0.361535,101.966,0.342,-0.032344,1.534139,1.178747,21.086,5.021,0.0,0.031514,21.881,62.406,34.066,1.218,2.0,1110.2666666666667,310.0,3,1.471111111111111,33.6,355.8033,272.8719397363465
2021-02-13,0,0.308508,102.069,0.292,-0.018434,1.225629,1.281047,18.204,6.226,0.0,0.033861,21.911,69.993,57.915,0.6,2.0,969.6888888888889,130.0,3,1.4933333333333334,1250.47,395.873,153.2
2021-02-13,1,0.3084115,102.1,0.259,0.008234499999999999,1.2449165,0.8829535000000001,19.408,6.353,0.2,0.017156,22.061,268.444,77.593,0.275,2.0,2070.4444444444443,160.0,3,1.1244444444444444,1662.58,148.4813,148.55555555555554
2021-02-13,2,0.308315,102.09,0.292,0.034903,1.264204,0.48486,20.783,8.643,0.0,0.000451,22.246,315.721,48.049,0.533,3.0,2167.866666666667,140.0,3,1.4177777777777778,1663.63,70.9907,176.22222222222223
2021-02-13,3,0.26233,101.329,0.209,0.045467,0.831034,0.70566,19.222,8.419,0.2,0.010799,22.6,313.647,73.523,0.545,3.0,2180.5777777777776,140.0,3,1.048888888888889,1247.91,89.8257,166.37777777777777
2021-02-13,4,0.246811,101.18,0.197,0.297715,0.981549,0.37226,12.599,-0.583,1.0,0.025443,22.553,78.271,88.75,0.102,3.0,2096.6222222222223,140.0,3,1.1866666666666668,931.93,173.4738,690.696618357488
2021-02-13,5,0.227575,102.004,0.169,0.050642,0.771427,0.50386,10.136,-5.484,0.2,0.016364,22.332,293.211,103.422,0.01,2.0044444444444443,1984.9777777777779,199.73333333333332,3,1.3733333333333333,927.38,204.6633,1523.6013825723126
2021-02-13,6,0.246836,102.144,0.147,0.165986,0.936042,0.47806,13.591,0.259,0.8,0.012849,22.329,188.882,102.106,0.185,2.0,2344.488888888889,279.64444444444445,3,1.2044444444444444,1238.18,243.8465,2208.813110181311
