Date,Hour,Carbon monoxide,Humidity,Nephelometer ,Nitric Oxide,Nitrogen Dioxide,Ozone,PM10,PM2.5,Rainfall,Sulphur Dioxide,Temperature,Wind Direction (10m) ,Wind Direction Sigma Theta,Wind Speed (10m)  , Layer_QualityIndex,cloud_dat,Mean_Layer_Height,n_BL,cloud_stat,WRF_BLH,CTM_BLH,CL_BLH
2021-02-12,11,-0.013024,47.927,0.042,-0.023461,0.069158,2.54408,23.29,1.629,0.0,0.012478,26.696,331.472,14.912,7.14,3.0,8149.330778301887,2040.0,3,0.9905660377358491,918.04,2116.5154,1782.9716981132076
2021-02-12,12,-0.003834,46.82,0.051,-0.015987,0.076345,2.84378,18.506,7.472,0.0,0.009091,27.329,341.235,15.817,5.896,3.0,6772.93299361265,2040.0,3,0.5478723404255319,1629.29,2268.4509,2060.904255319149
2021-02-12,13,-0.004704,45.996,0.058,-0.011745,0.066663,3.05318,22.723,6.195,0.0,0.016463,28.087,345.758,13.917,6.096,2.0,6087.572299168975,2120.0,3,0.9,2124.96,2332.6211,1942.8947368421052
2021-02-12,14,-0.003592,44.181,0.06,-0.026188,0.057879,3.26518,19.386,2.025,0.0,0.031706,28.844,333.913,13.932,6.07,2.0,6470.054415118931,1990.0,3,0.8763440860215054,2726.0,2376.4629,1684.731182795699
2021-02-12,15,-0.00288,43.716,0.065,-0.021037,0.05219,3.34748,19.332,-4.037,0.0,0.039776,29.141,339.577,17.87,5.807,2.0,6554.557453416149,1700.0,3,0.9782608695652174,2727.78,2432.8503,1573.9673913043478
2021-02-12,16,0.004235,46.238,0.068,-0.020734,0.047798,3.33978,20.415,-1.437,0.0,0.02802,28.201,334.648,14.618,5.033,2.0,5191.405405405405,1700.0,3,1.027027027027027,2727.64,1316.026,1668.3783783783783
2021-02-12,17,0.002853,48.946,0.07,-0.019623,0.053188,3.30668,20.09,0.855,0.0,-0.007148,27.891,334.372,12.619,3.713,2.0,5119.485981308411,1685.062649904885,3,1.014018691588785,2132.87,293.4471,1569.7196261682243
2021-02-12,18,-0.002314,52.111,0.068,-0.030633,0.068659,3.16788,19.113,2.75,0.0,0.010785,26.914,349.648,13.113,1.797,2.0,5155.953488372093,1670.0,3,1.0790697674418606,518.45,312.8919,1578.6046511627908
2021-02-12,19,-0.011205,54.351,0.067,-0.026087,0.074348,3.16458,18.781,1.259,0.0,-0.024583,26.137,20.989,16.391,1.576,3.0,4871.601941747573,1590.0,3,1.1893203883495145,85.15,232.0443,1450.186706497386
2021-02-12,20,-0.014778,56.331,0.065,-0.027401,0.083431,3.14378,20.086,1.79,0.0,0.006501,25.585,344.129,35.181,0.878,2.0,4611.556603773585,1450.0,3,1.330188679245283,430.46,234.0902,1178.1132075471698
2021-02-12,21,-0.014963,63.36,0.072,-0.025178,0.129445,2.69508,22.381,5.199,0.0,0.00391,24.23,284.361,26.112,2.277,1.4960514306123263,3862.6008968609867,809.9853168776539,3,1.1659192825112108,256.47,212.0907,1440.7174887892377
2021-02-12,22,-0.01749,73.456,0.082,-0.035077,0.182346,2.22708,22.38,4.33,0.0,0.000722,23.037,276.902,14.12,1.951,1.0,3141.8303571428573,180.0,3,1.3482142857142858,0.0,191.1313,2180.8258928571427
2021-02-12,23,-0.021928,81.424,0.075,-0.014573,0.226663,1.92908,14.951,7.18,0.0,0.007298,22.027,305.919,16.164,1.546,1.0,3409.0666666666666,2220.0,3,1.248888888888889,2126.38,156.4587,1802.9333333333334
2021-02-13,0,-0.025729,83.348,0.068,-0.027603,0.175159,1.92958,11.896,8.831,0.0,0.001021,21.788,276.014,13.002,2.878,1.0,2903.288288288288,260.0,3,1.2027027027027026,1621.52,217.7751,2016.373873873874
2021-02-13,1,-0.020673,86.924,0.06,-0.0218415,0.182764,1.83357,9.935,5.736,0.0,-0.003925,21.417,264.117,9.276,2.592,1.0,2707.735849056604,960.0,3,1.4150943396226414,125.37,264.7053,2386.2199828473417
2021-02-13,2,-0.015617,90.574,0.058,-0.01608,0.190369,1.73756,9.317,1.57,0.2,-0.008871,20.813,282.445,13.98,1.922,1.0,2279.4883720930234,280.0,3,1.3627906976744186,33.25,281.7866,2011.5348837209303
2021-02-13,3,-0.01939,91.843,0.059,-0.02551,0.148932,1.80596,8.545,2.17,0.0,-0.006877,20.622,291.627,9.127,1.608,1.0,2110.1477832512314,2220.0,3,1.3842364532019704,33.25,282.1569,1292.0558292282433
2021-02-13,4,-0.018359,94.209,0.057,-0.015675,0.136113,1.70696,7.643,6.513,4.4,-0.009369,20.336,272.268,28.85,0.901,1.0,1823.4597156398104,470.0,3,1.5592417061611374,33.26,392.386,1047.508140727997
2021-02-13,5,-0.019734,95.392,0.054,-0.022164,0.166421,1.53906,6.33,6.377,1.4,-0.017841,20.154,294.62,75.971,0.214,1.0,587.9723502304147,2120.0,3,1.631336405529954,33.24,436.8164,264.2769078582285
2021-02-13,6,-0.02212,95.377,0.056,-0.002899,0.177153,1.40066,11.505,4.517,0.6,-0.011363,20.209,294.471,51.275,1.304,1.0,2452.5333333333333,1114.9999999999998,3,1.7333333333333334,33.19,980.1232,1030.6916198096424
2021-02-13,7,-0.0244,94.789,0.071,-0.001581,0.138994,1.46586,10.387,2.976,1.0,-0.003987,20.199,358.814,22.332,1.664,1.0,1619.1555555555556,110.0,3,1.4755555555555555,33.03,38.6938,646.0269865067465
2021-02-13,8,-0.022444,89.027,0.071,-0.00736,0.073111,2.00196,11.695,3.404,0.2,-0.012658,20.924,355.614,15.365,2.684,1.0,2353.9555555555557,440.0,3,1.2222222222222223,123.6,43.1114,1087.9310344827586
